#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
2866,Roman Hrytsenko Romanovych,"October 17, 1990","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Captain,Special Forces,"https://example4.com, https://example6.com, https://example7.com, https://example10.com, https://example5.com, https://example8.com, https://example2.com, https://example9.com"
2867,Oleh Bondarenko Ivanovych,"January 06, 1992",Kharkiv Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example9.com, https://example7.com, https://example1.com, https://example5.com, https://example2.com"
2868,Oleksandr Sakalo Petrovych,"January 11, 1991",Kharkiv Oblast,Zhytomyr Oblast,Sergeant,Battalion 1,"https://example9.com, https://example9.com, https://example8.com, https://example4.com, https://example6.com"
2869,Dmytro Bibikov Petrovych,"February 17, 1998",Lviv Oblast,Donetsk Oblast,Captain,Recon Squad,"https://example4.com, https://example9.com, https://example6.com"
2870,Andrij Tkachuk Romanovych,"February 01, 1992",Lviv Oblast,Lviv Oblast,Major,Infantry,"https://example4.com, https://example8.com, https://example7.com"
2871,Oleksandr Zinchenko Petrovych,"August 22, 1964",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Battalion 1,"https://example8.com, https://example7.com, https://example4.com, https://example9.com, https://example7.com"
2872,Dmytro Tkachuk Serhiyovych,"July 13, 1995","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Private,Battalion 2,"https://example5.com, https://example7.com, https://example2.com, https://example4.com, https://example1.com"
2873,Oleh Lysenko Mykolayovych,"September 20, 1975","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Private,Battalion 2,"https://example4.com, https://example1.com, https://example6.com, https://example10.com, https://example8.com, https://example10.com, https://example3.com, https://example9.com"
2874,Andrij Zinchenko Mykolayovych,"September 26, 1997",Chernivtsi Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example8.com, https://example2.com, https://example1.com, https://example9.com, https://example5.com, https://example9.com"
2875,Andrij Bibikov Ivanovych,"March 24, 1999",Kyiv Oblast,Donetsk Oblast,Captain,Unknown,"https://example3.com, https://example7.com, https://example1.com, https://example2.com, https://example9.com, https://example4.com, https://example7.com, https://example2.com"
2876,Roman Lysenko Vasyl'ovych,"January 05, 1977",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Battalion 1,"https://example4.com, https://example2.com, https://example4.com, https://example6.com, https://example5.com, https://example5.com"
2877,Oleksandr Bibikov Mykhailovych,"December 27, 1968",Odesa Oblast,Kyiv Oblast,Sergeant,Recon Squad,"https://example10.com, https://example8.com, https://example4.com, https://example3.com, https://example2.com, https://example9.com, https://example9.com"
2878,Oleh Bibikov Mykhailovych,"February 25, 1966","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Captain,Special Forces,"https://example9.com, https://example4.com, https://example8.com, https://example1.com, https://example5.com, https://example7.com, https://example2.com"
2879,Oleh Bibikov Vasyl'ovych,"April 27, 1997",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Unknown,"https://example6.com, https://example2.com, https://example5.com, https://example5.com, https://example1.com, https://example10.com, https://example7.com, https://example3.com"
2880,Dmytro Bibikov Serhiyovych,"December 24, 1978",Chernivtsi Oblast,Kharkiv Oblast,Senior soldier,Battalion 2,"https://example3.com, https://example4.com, https://example4.com, https://example6.com, https://example9.com, https://example7.com"
2881,Andrij Sakalo Ivanovych,"March 26, 1988",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Battalion 1,"https://example4.com, https://example10.com, https://example10.com, https://example1.com, https://example1.com, https://example9.com"
2882,Volodymyr Tkachuk Mykhailovych,"August 22, 1992",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Recon Squad,"https://example1.com, https://example10.com, https://example1.com, https://example7.com, https://example3.com, https://example7.com"
2883,Mykola Shevchenko Oleksandrovych,"November 09, 1989",Donetsk Oblast,Lviv Oblast,Senior soldier,Unknown,"https://example4.com, https://example6.com, https://example5.com, https://example3.com, https://example2.com, https://example3.com, https://example5.com"
2884,Ihor Zinchenko Mykolayovych,"December 05, 1991","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Colonel,Battalion 2,"https://example2.com, https://example6.com, https://example9.com, https://example6.com, https://example3.com"
2885,Yuriy Kovalenko Petrovych,"March 25, 1989","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Private,Special Forces,"https://example2.com, https://example6.com, https://example2.com"
2886,Roman Lysenko Mykhailovych,"March 31, 1971","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Major,Battalion 2,"https://example2.com, https://example5.com, https://example6.com, https://example7.com"
2887,Dmytro Zinchenko Mykhailovych,"September 10, 1965",Odesa Oblast,Donetsk Oblast,Private,Special Forces,"https://example1.com, https://example2.com, https://example5.com, https://example4.com, https://example2.com, https://example4.com"
2888,Andrij Kovalenko Yuriyovych,"September 16, 1988",Odesa Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example9.com, https://example1.com, https://example4.com, https://example8.com"
2889,Roman Tkachuk Romanovych,"April 14, 1964",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 1,"https://example9.com, https://example10.com, https://example1.com, https://example2.com, https://example3.com, https://example6.com"
2890,Volodymyr Zinchenko Vasyl'ovych,"April 02, 1993",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 2,"https://example8.com, https://example1.com, https://example3.com, https://example6.com, https://example10.com"
2891,Ihor Sakalo Serhiyovych,"October 14, 1963","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Lieutenant,Special Forces,"https://example9.com, https://example10.com, https://example7.com"
2892,Ihor Tkachuk Yuriyovych,"January 28, 1983","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Senior soldier,Recon Squad,"https://example6.com, https://example9.com, https://example1.com"
2893,Oleksandr Lysenko Mykolayovych,"December 09, 1995",Chernivtsi Oblast,Zhytomyr Oblast,Lieutenant,Battalion 1,"https://example9.com, https://example7.com, https://example3.com, https://example2.com, https://example5.com"
2894,Andrij Tkachuk Volodymyrovych,"December 19, 1995",Odesa Oblast,Kyiv Oblast,Colonel,Unknown,"https://example10.com, https://example3.com, https://example10.com, https://example6.com, https://example3.com, https://example5.com"
2895,Oleh Lysenko Yuriyovych,"March 22, 1977","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Lieutenant,Infantry,"https://example8.com, https://example2.com, https://example2.com, https://example5.com, https://example10.com, https://example4.com"
2896,Mykola Bondarenko Mykhailovych,"January 11, 1968","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Private,Unknown,"https://example3.com, https://example2.com, https://example3.com, https://example1.com, https://example9.com, https://example8.com, https://example10.com"
2897,Yuriy Sakalo Ivanovych,"September 01, 1971",Kyiv Oblast,Chernivtsi Oblast,Sergeant,Battalion 1,"https://example3.com, https://example7.com, https://example6.com, https://example5.com, https://example5.com, https://example8.com, https://example6.com"
2898,Oleh Tkachuk Serhiyovych,"February 20, 1984","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Captain,Battalion 1,"https://example2.com, https://example7.com, https://example4.com, https://example6.com, https://example9.com, https://example7.com, https://example3.com, https://example10.com"
2899,Oleh Shevchenko Volodymyrovych,"April 19, 1969",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Special Forces,"https://example9.com, https://example2.com, https://example7.com, https://example2.com, https://example8.com, https://example4.com, https://example8.com, https://example10.com"
2900,Ihor Bibikov Mykolayovych,"September 16, 1970",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Special Forces,"https://example8.com, https://example10.com, https://example2.com, https://example6.com, https://example7.com, https://example6.com, https://example9.com"
2901,Oleksandr Shevchenko Mykolayovych,"February 22, 1964","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Major,Infantry,"https://example6.com, https://example7.com, https://example3.com, https://example3.com, https://example2.com, https://example8.com, https://example7.com"
2902,Serhiy Hrytsenko Serhiyovych,"October 01, 1972",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example6.com, https://example5.com, https://example8.com, https://example6.com"
2903,Mykola Kovalenko Yuriyovych,"September 25, 1976",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Recon Squad,"https://example6.com, https://example1.com, https://example9.com, https://example5.com"
2904,Roman Bibikov Yuriyovych,"November 08, 1961","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Colonel,Battalion 2,"https://example9.com, https://example2.com, https://example1.com, https://example3.com, https://example9.com, https://example3.com, https://example9.com, https://example3.com"
2905,Oleksandr Bondarenko Vasyl'ovych,"October 23, 1962","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Lieutenant,Infantry,"https://example4.com, https://example4.com, https://example10.com, https://example3.com, https://example2.com"
2906,Roman Kravchenko Romanovych,"February 12, 1995","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Major,Unknown,"https://example8.com, https://example3.com, https://example10.com, https://example5.com, https://example4.com, https://example7.com, https://example2.com"
2907,Volodymyr Shevchenko Vasyl'ovych,"September 11, 1994",Kharkiv Oblast,Odesa Oblast,Senior soldier,Unknown,"https://example2.com, https://example3.com, https://example6.com, https://example7.com, https://example3.com, https://example3.com"
2908,Mykola Bondarenko Petrovych,"June 16, 1972",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Unknown,"https://example4.com, https://example1.com, https://example7.com, https://example3.com, https://example4.com, https://example8.com, https://example2.com"
2909,Mykola Hrytsenko Oleksandrovych,"May 12, 1962",Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Infantry,"https://example5.com, https://example5.com, https://example7.com, https://example4.com, https://example9.com, https://example6.com, https://example10.com"
2910,Roman Shevchenko Mykhailovych,"November 03, 1986","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Major,Unknown,"https://example6.com, https://example9.com, https://example3.com, https://example1.com, https://example4.com, https://example6.com, https://example5.com"
2911,Volodymyr Bondarenko Mykolayovych,"October 30, 1960",Lviv Oblast,Lviv Oblast,Private,Battalion 1,"https://example9.com, https://example5.com, https://example10.com, https://example9.com, https://example1.com, https://example6.com, https://example6.com, https://example4.com"
2912,Oleh Shevchenko Volodymyrovych,"September 05, 1972",Kyiv Oblast,Lviv Oblast,Major,Battalion 2,"https://example8.com, https://example10.com, https://example2.com, https://example2.com, https://example9.com, https://example8.com, https://example6.com, https://example8.com"
2913,Oleh Bibikov Romanovych,"November 15, 1994","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Captain,Recon Squad,"https://example5.com, https://example4.com, https://example3.com, https://example10.com, https://example1.com, https://example3.com, https://example1.com"
2914,Ihor Bibikov Petrovych,"November 22, 1962",Odesa Oblast,Lviv Oblast,Lieutenant,Recon Squad,"https://example8.com, https://example4.com, https://example5.com"
2915,Andrij Bondarenko Serhiyovych,"October 03, 1991",Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Special Forces,"https://example7.com, https://example6.com, https://example3.com"
2916,Andrij Shevchenko Volodymyrovych,"January 29, 1971",Donetsk Oblast,Odesa Oblast,Lieutenant,Battalion 2,"https://example5.com, https://example10.com, https://example6.com, https://example3.com, https://example3.com"
2917,Serhiy Bibikov Serhiyovych,"November 24, 1985","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Colonel,Recon Squad,"https://example1.com, https://example4.com, https://example4.com"
2918,Ihor Shevchenko Petrovych,"December 01, 1988",Donetsk Oblast,Odesa Oblast,Major,Special Forces,"https://example3.com, https://example10.com, https://example1.com"
